MonthYear,Month,Year,Role,Source,Stage,Candidates
2/2016,2,2016,Interns,Referral,Accept,0
2/2016,2,2016,Interns,Referral,Decline,0
2/2016,2,2016,Interns,"Angel List","All Applicants",0
2/2016,2,2016,Interns,"Angel List","Phone Screen",0
2/2016,2,2016,Interns,"Angel List",Onsite,0
2/2016,2,2016,Interns,"Angel List","Final Onsite",0
2/2016,2,2016,Interns,"Angel List",Offer,0
2/2016,2,2016,Interns,"Angel List",Accept,0
2/2016,2,2016,Interns,"Angel List",Decline,0
2/2016,2,2016,Interns,"Career Site","All Applicants",0
2/2016,2,2016,Interns,"Career Site","Phone Screen",0
2/2016,2,2016,Interns,"Career Site",Onsite,0
2/2016,2,2016,Interns,"Career Site","Final Onsite",0
2/2016,2,2016,Interns,"Career Site",Offer,0
2/2016,2,2016,Interns,"Career Site",Accept,0
2/2016,2,2016,Interns,"Career Site",Decline,0
2/2016,2,2016,Interns,Outreach,"All Applicants",0
2/2016,2,2016,Interns,Outreach,"Phone Screen",0
2/2016,2,2016,Interns,Outreach,Onsite,0
2/2016,2,2016,Interns,Outreach,"Final Onsite",0
2/2016,2,2016,Interns,Outreach,Offer,0
2/2016,2,2016,Interns,Outreach,Accept,0
2/2016,2,2016,Interns,Outreach,Decline,0
2/2016,2,2016,Interns,Hired,"All Applicants",0
2/2016,2,2016,Interns,Hired,"Phone Screen",0
2/2016,2,2016,Interns,Hired,Onsite,0
2/2016,2,2016,Interns,Hired,"Final Onsite",0
2/2016,2,2016,Interns,Hired,Offer,0
2/2016,2,2016,Interns,Hired,Accept,0
2/2016,2,2016,Interns,Hired,Decline,0
2/2016,2,2016,Interns,Gogohire,"All Applicants",0
2/2016,2,2016,Interns,Gogohire,"Phone Screen",0
2/2016,2,2016,Interns,Gogohire,Onsite,0
2/2016,2,2016,Interns,Gogohire,"Final Onsite",0
2/2016,2,2016,Interns,Gogohire,Offer,0
2/2016,2,2016,Interns,Gogohire,Accept,0
2/2016,2,2016,Interns,Gogohire,Decline,0
2/2016,2,2016,Interns,HireUp,"All Applicants",0
2/2016,2,2016,Interns,HireUp,"Phone Screen",0
2/2016,2,2016,Interns,HireUp,Onsite,0
2/2016,2,2016,Interns,HireUp,"Final Onsite",0
2/2016,2,2016,Interns,HireUp,Offer,0
2/2016,2,2016,Interns,HireUp,Accept,0
2/2016,2,2016,Interns,HireUp,Decline,0
2/2016,2,2016,Interns,Conferences,"All Applicants",0
2/2016,2,2016,Interns,Conferences,"Phone Screen",0
2/2016,2,2016,Interns,Conferences,Onsite,0
2/2016,2,2016,Interns,Conferences,"Final Onsite",0
2/2016,2,2016,Interns,Conferences,Offer,0
2/2016,2,2016,Interns,Conferences,Accept,0
2/2016,2,2016,Interns,Conferences,Decline,0
1/2016,1,2016,Sales,Referral,"All Applicants",3
1/2016,1,2016,Sales,Referral,"Phone Screen",2
1/2016,1,2016,Sales,Referral,Onsite,1
1/2016,1,2016,Sales,Referral,"Final Onsite",0
1/2016,1,2016,Sales,Referral,Offer,0
1/2016,1,2016,Sales,Referral,Accept,0
1/2016,1,2016,Sales,Referral,Decline,0
1/2016,1,2016,Sales,"Angel List","All Applicants",10
1/2016,1,2016,Sales,"Angel List","Phone Screen",2
1/2016,1,2016,Sales,"Angel List",Onsite,1
1/2016,1,2016,Sales,"Angel List","Final Onsite",1
1/2016,1,2016,Sales,"Angel List",Offer,0
1/2016,1,2016,Sales,"Angel List",Accept,0
1/2016,1,2016,Sales,"Angel List",Decline,0
1/2016,1,2016,Sales,"Career Site","All Applicants",40
1/2016,1,2016,Sales,"Career Site","Phone Screen",8
1/2016,1,2016,Sales,"Career Site",Onsite,5
1/2016,1,2016,Sales,"Career Site","Final Onsite",0
1/2016,1,2016,Sales,"Career Site",Offer,0
1/2016,1,2016,Sales,"Career Site",Accept,0
1/2016,1,2016,Sales,"Career Site",Decline,0
1/2016,1,2016,Sales,Outreach,"All Applicants",57
1/2016,1,2016,Sales,Outreach,"Phone Screen",3
1/2016,1,2016,Sales,Outreach,Onsite,2
1/2016,1,2016,Sales,Outreach,"Final Onsite",2
1/2016,1,2016,Sales,Outreach,Offer,0
1/2016,1,2016,Sales,Outreach,Accept,0
1/2016,1,2016,Sales,Outreach,Decline,0
1/2016,1,2016,Sales,Hired,"All Applicants",3
1/2016,1,2016,Sales,Hired,"Phone Screen",3
1/2016,1,2016,Sales,Hired,Onsite,0
1/2016,1,2016,Sales,Hired,"Final Onsite",0
1/2016,1,2016,Sales,Hired,Offer,0
1/2016,1,2016,Sales,Hired,Accept,0
1/2016,1,2016,Sales,Hired,Decline,0
1/2016,1,2016,Sales,Gogohire,"All Applicants",5
1/2016,1,2016,Sales,Gogohire,"Phone Screen",5
1/2016,1,2016,Sales,Gogohire,Onsite,3
1/2016,1,2016,Sales,Gogohire,"Final Onsite",0
1/2016,1,2016,Sales,Gogohire,Offer,0
1/2016,1,2016,Sales,Gogohire,Accept,0
1/2016,1,2016,Sales,Gogohire,Decline,0
1/2016,1,2016,Sales,HireUp,"All Applicants",0
1/2016,1,2016,Sales,HireUp,"Phone Screen",0
1/2016,1,2016,Sales,HireUp,Onsite,0
1/2016,1,2016,Sales,HireUp,"Final Onsite",0
1/2016,1,2016,Sales,HireUp,Offer,0
1/2016,1,2016,Sales,HireUp,Accept,0
1/2016,1,2016,Sales,HireUp,Decline,0
1/2016,1,2016,Sales,Conferences,"All Applicants",1
1/2016,1,2016,Sales,Conferences,"Phone Screen",1
1/2016,1,2016,Sales,Conferences,Onsite,1
1/2016,1,2016,Sales,Conferences,"Final Onsite",1
1/2016,1,2016,Sales,Conferences,Offer,0
1/2016,1,2016,Sales,Conferences,Accept,0
1/2016,1,2016,Sales,Conferences,Decline,0
1/2016,1,2016,Engineering,Referral,"All Applicants",0
1/2016,1,2016,Engineering,Referral,"Phone Screen",0
1/2016,1,2016,Engineering,Referral,Onsite,0
1/2016,1,2016,Engineering,Referral,"Final Onsite",0
1/2016,1,2016,Engineering,Referral,Offer,0
1/2016,1,2016,Engineering,Referral,Accept,0
1/2016,1,2016,Engineering,Referral,Decline,0
1/2016,1,2016,Engineering,"Angel List","All Applicants",8
1/2016,1,2016,Engineering,"Angel List","Phone Screen",0
1/2016,1,2016,Engineering,"Angel List",Onsite,0
